genre_ids,original_title,title,overview,vote_average,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
"[35, 10751, 14]",Wonka,Wonka,"Basada en el personaje que protagoniza ""Charlie y la fábrica de chocolate"", el libro infantil más emblemático de Roald Dahl y uno de los más vendidos de todos los tiempos, ""Wonka"" cuenta la historia de cómo el mayor inventor, mago y chocolatero del mundo se convirtió en el querido Willy Wonka que conocemos hoy en día.",7.117,-,-,-,"$8,817,416",386.0,16124195.0,Dec 8,Warner Bros.,False
"[18, 36]",Oppenheimer,Oppenheimer,Película sobre el físico J. Robert Oppenheimer y su papel como desarrollador de la bomba atómica. Basada en el libro 'American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer' de Kai Bird y Martin J. Sherwin.,8.1,-,-,-,"$21,913,768",397.0,23066203.0,Jul 21,Universal Pictures International (UPI),False
"[28, 878, 12]",Blue Beetle,Blue Beetle,Un adolescente mexicano encuentra un escarabajo alienígena que le proporciona una armadura superpoderosa.,6.7,-,-,-,"$1,858,757",306.0,1858757.0,Aug 18,Warner Bros.,False
"[16, 35, 10751, 14, 10749]",Elemental,Elemental,"En una ciudad donde los residentes del fuego, el agua, la tierra y el aire viven juntos, una joven apasionada y un chico que se deja llevar por la corriente descubrirán algo elemental: cuánto tienen en común.",7.63,-,-,-,"$14,241,183",325.0,14241750.0,Jul 14,Walt Disney Pictures,False
"[35, 12]",Barbie,Barbie,"Barbie vive en Barbieland donde todo es ideal y lleno de música y color. Un buen día decide conocer el mundo real. Cuando el CEO de Mattel se entere, tratará de evitarlo a toda costa y devolver a Barbie a una caja.",7.0,-,-,-,"$33,554,745",424.0,35574798.0,Jul 21,Warner Bros.,False
"[878, 12, 28]",The Marvels,The Marvels,"Cuando sus obligaciones la envían a un agujero de gusano vinculado a un revolucionario kree, los poderes de Carol Danvers, la capitana Marvel, se entremezclan con los de Kamala Khan, también conocida como la Sra. Marvel y la sobrina de Carol, ahora astronauta de S.A.B.E.R., Monica Rambeau. Juntas, deberán salvar el universo como ""The Marvels"".",6.1,-,-,-,"$3,018,439",332.0,3297579.0,Nov 10,Walt Disney Pictures,False
"[16, 18, 35, 878]",Robot Dreams,Robot Dreams,A lonely dog's friendship with his robot companion takes a sad turn when an unexpected malfunction forces him to abandon Robot at the beach. Will Dog ever meet Robot again?,8.1,-,-,-,"$190,020",168.0,515125.0,Dec 8,BTeam Pictures,False
"[18, 28, 53]",Todos los nombres de Dios,All the Names of God,"After being implicated in a terrorist attack, Santi, a taxi driver, is taken hostage by one of the perpetrators.",6.4,-,-,-,"$1,049,517",283.0,1049517.0,Sep 15,-,False
"[16, 12, 14]",Momias,Mummies,"Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",7.0,-,-,-,"$6,443,543",399.0,6431589.0,Feb 24,Warner Bros.,False
